name,brand,price,currency,category,merchant_link
The Row Dakara Suede Coat,The Row,8200,USD,clothing,https://www.mytheresa.com/us/en/women/the-row-dakara-suede-coat-brown-p01221618
Cartier Love Bracelet Classic Yellow Gold,Cartier,7950,USD,jewelry,https://www.cartier.com/en-us/jewelry/bracelets/love/
Hermès Kelly Cut,Hermès,7000,USD,bags,https://www.hermes.com
Max Mara Labbro Cashmere Coat,Max Mara,6890,USD,clothing,https://www.mytheresa.com/en-us/max-mara-labbro-cashmere-wrap-coat-1871772.html
Cartier Love Bracelet Medium Yellow Gold,Cartier,6550,USD,jewelry,https://www.cartier.com/en-us/jewelry/bracelets/love/
Hermès Kelly Pochette,Hermès,6400,USD,bags,https://www.sothebys.com/en/articles/learn-more-about-the-hermes-kelly-pochette-our-favorite-clutch-to-carry-now
Cartier Love Bracelet Small Yellow Gold,Cartier,5300,USD,jewelry,https://www.cartier.com/en-us/jewelry/bracelets/love/
Loro Piana Belted Wool and Cashmere Cape,Loro Piana,5300,USD,clothing,https://www.mytheresa.com/us/en/women/loro-piana-belted-wool-and-cashmere-cape-beige-p01130394
The Row Margaux 15,The Row,5100,EUR,bags,https://www.mytheresa.com/us/en/women/designers/the-row
Brunello Cucinelli Ribbed-Knit Cashmere Sweater,Brunello Cucinelli,4800,USD,clothing,https://www.mytheresa.com/us/en/women/brunello-cucinelli-ribbed-knit-cashmere-sweater-brown-p01210406
Max Mara Madame 101801 Coat,Max Mara,4490,USD,clothing,https://www.mytheresa.com/us/en/women/max-mara-101801-icon-wool-and-cashmere-coat-red-p01120683
Max Mara Teddy Bear Icon Coat,Max Mara,4390,USD,clothing,https://www.mytheresa.com/us/en/women/max-mara-teddy-bear-alpaca-wool-wool-and-silk-coat-burgundy-p01090638
Bottega Veneta Lauren 1980 Clutch,Bottega Veneta,4300,USD,bags,https://www.mytheresa.com/us/en/women/bottega-veneta-lauren-1980-medium-leather-clutch-silver-p01000113
Loro Piana Belted Linen and Wool Jacket,Loro Piana,4140,USD,clothing,https://www.mytheresa.com/us/en/women/loro-piana-belted-linen-and-wool-jacket-white-p01173106
Max Mara Manuela Coat,Max Mara,3790,USD,clothing,https://www.mytheresa.com/us/en/women/max-mara-manuela-icon-belted-wool-coat-blue-p00976129
Bottega Veneta Knot Clutch,Bottega Veneta,3500,USD,bags,https://www.mytheresa.com/us/en/women/bottega-veneta-knot-intreccio-leather-clutch-black-p00757703
Fendi Medium Embroidered Tiger-Print Shopper,Fendi,3450,USD,bags,https://www.mytheresa.com/us/en/women/fendi-medium-embroidered-tiger-print-shopper-beige-p01226376
Brunello Cucinelli Cashmere Cardigan,Brunello Cucinelli,3400,USD,clothing,https://www.mytheresa.com/us/en/women/brunello-cucinelli-cashmere-cardigan-brown-p01210375
Loro Piana Juniper Ribbed-Knit Cashmere Sweatpants,Loro Piana,2770,USD,clothing,https://www.mytheresa.com/us/en/women/loro-piana-juniper-ribbed-knit-cashmere-sweatpants-white-p01130409
Saint Laurent Midnight Satin Clutch,Saint Laurent,1950,USD,bags,https://www.mytheresa.com/us/en/women/saint-laurent-midnight-small-leather-clutch-black-p01140873
Saint Laurent Manhattan Clutch,Saint Laurent,1850,USD,bags,https://www.saksfifthavenue.com/product/saint-laurent-manhattan-clutch-in-box-leather-0400018305505.html
Brunello Cucinelli Monili Leather Loafers,Brunello Cucinelli,1600,USD,shoes,https://www.mytheresa.com/us/en/women/brunello-cucinelli-monili-leather-loafers-brown-p01175326
Savette Symmetry Pochette,Savette,1390,USD,bags,https://www.mytheresa.com/us/en/women/savette-symmetry-pochette-leather-trimmed-tote-bag-black-p01019069
Toteme Belted Bucket Bag,Toteme,1390,USD,bags,https://www.mytheresa.com/us/en/women/toteme-belted-suede-bucket-bag-brown-p01093293
Toteme T-Lock Satchel,Toteme,1390,USD,bags,https://www.mytheresa.com/us/en/women/toteme-t-lock-leather-clutch-brown-p01137969
